jid,species,homo_raw,lumo_raw,hl_gap_hartree_eV,hl_gap_ev_eV,sk_bandgap_eV,excluded
cc-1207,FSN,-0.310870,-0.124240,5.078461,0.186630,2.707513,
cc-1211,SiCl3+,-0.559990,-0.324190,6.416445,0.235800,7.666348,
cc-1215,HOCH,-0.212700,-0.045680,4.544846,0.167020,2.182286,
cc-1219,CaS,-0.172870,-0.119610,1.449278,0.053260,3.900330,
cc-1223,CH3CHNH,-0.259810,0.005100,7.208568,0.264910,5.223809,
cc-1227,SSO,-0.285130,-0.157200,3.481153,0.127930,1.574000,
cc-1231,NCO-,0.013670,0.369620,9.685893,0.355950,8.468461,
cc-1235,As2,-0.262280,-0.098520,4.456137,0.163760,2.144695,
cc-1239,GeH2,-0.246040,-0.120100,3.427002,0.125940,2.477026,
cc-1243,GaN,-0.241710,-0.185100,1.540437,0.056610,1.912766,
cc-1247,F3-,-0.042730,0.137380,4.901043,0.180110,3.418357,
cc-1251,C5H7N,-0.271600,-0.044840,6.170454,0.226760,4.982677,
cc-1255,HOONO2,-0.325590,-0.082240,6.621891,0.243350,5.344651,
cc-1259,Mg2,-0.177770,-0.049180,3.499112,0.128590,2.834965,
cc-1264,HCCOH,-0.242670,0.038010,7.637692,0.280680,8.654052,
cc-1268,CHFClCHFCl,-0.322490,-0.008370,8.547641,0.314120,11.245924,
cc-1272,HCS-,0.070950,0.178700,2.932027,0.107750,1.560574,
cc-1276,C3H3N2-,0.013570,0.291830,7.571840,0.278260,5.423197,
cc-1280,C2H6N2O2,-0.203480,-0.045900,4.287970,0.157580,3.397747,
cc-1284,BrONO2,-0.305610,-0.127780,4.839001,0.177830,4.967842,
cc-1288,ScH3,-0.269760,-0.101600,4.575867,0.168160,4.235366,
cc-1292,HCNH+,-0.706380,-0.305360,10.912310,0.401020,9.303535,
cc-1296,CH3PH3+,-0.620450,-0.197610,11.506063,0.422840,2.143708,
cc-1300,ONNO,-0.211360,-0.125490,2.336642,0.085870,0.509073,
cc-1305,C2H4O2,-0.251630,0.050740,8.227907,0.302370,12.280262,
cc-1309,C5H5NO,-0.216380,-0.038720,4.834375,0.177660,4.655945,
cc-1313,BeMg,-0.178190,-0.059380,3.232985,0.118810,1.821525,
cc-1317,BrONO,-0.292040,-0.110350,4.944037,0.181690,2.430012,
cc-1321,PF3CH2,-0.235750,0.018440,6.916862,0.254190,13.612931,
cc-1325,SiH3CCl3,-0.306490,-0.054240,6.864072,0.252250,9.294714,
cc-1329,NH2COOH2+,-0.548440,-0.222570,8.867374,0.325870,7.606064,
cc-1333,CH3CH2NH3+,-0.552580,-0.174830,10.279101,0.377750,1.801986,
cc-1337,H2NCOHNH2+,-0.502720,-0.193850,8.404781,0.308870,5.209367,
cc-1,NH3NH3,-0.247560,0.076880,8.828462,0.324440,15.829794,
cc-5,HCOOHH2O,-0.290320,0.001150,7.931303,0.291470,6.653658,
cc-9,HCONH2CN2H4,-0.228000,0.035530,7.171017,0.263530,6.020007,
cc-13,NH2COOC2H5,-0.262290,0.050630,8.514987,0.312920,7.296865,
cc-17,CH3CH(NH2)COOH,-0.251840,0.014640,7.251290,0.266480,5.970417,
cc-21,NH2CONH2,-0.250130,0.051400,8.205049,0.301530,6.923227,
cc-25,C4H10O,-0.248100,0.094170,9.313641,0.342270,14.535913,
cc-29,CH3CH2OH,-0.261560,0.076610,9.202074,0.338170,15.131990,
cc-33,CH3CHOHCH3,-0.260710,0.072030,9.054317,0.332740,14.542745,
cc-37,C2H6O2S,-0.289450,0.059330,9.490787,0.348780,13.079172,
cc-41,C4H10OS,-0.216820,0.042820,7.065164,0.259640,10.472595,
cc-45,C5H12O,-0.260950,0.077980,9.222755,0.338930,15.112346,
cc-49,HCO3-,-0.002880,0.293370,8.061373,0.296250,8.385923,
cc-53,C2H6,-0.340080,0.104770,12.104985,0.444850,17.659836,
cc-57,CH3Cl,-0.296450,0.025820,8.769413,0.322270,11.059225,
cc-61,CH2Br2,-0.281670,-0.039370,6.593319,0.242300,9.240127,
cc-65,CH3CCH,-0.259490,0.061960,8.747100,0.321450,8.708006,
cc-69,CH3CH2NH2,-0.229440,0.081330,8.456483,0.310770,14.114214,
